"_time","Rate (Avg) /s"
"2024-05-09T07:02:30.000+00:00",78342
"2024-05-09T07:03:00.000+00:00",78348
"2024-05-09T07:03:30.000+00:00",78353
"2024-05-09T07:04:00.000+00:00",78357
"2024-05-09T07:04:30.000+00:00",78378
"2024-05-09T07:05:00.000+00:00",78504
"2024-05-09T07:05:30.000+00:00",78524
"2024-05-09T07:06:00.000+00:00",78528
"2024-05-09T07:06:30.000+00:00",78532
"2024-05-09T07:07:00.000+00:00",78538
"2024-05-09T07:07:30.000+00:00",78646
"2024-05-09T07:08:00.000+00:00",78699
"2024-05-09T07:08:30.000+00:00",78703
"2024-05-09T07:09:00.000+00:00",78709
"2024-05-09T07:09:30.000+00:00",78714
"2024-05-09T07:10:00.000+00:00",78791
"2024-05-09T07:10:30.000+00:00",78876
"2024-05-09T07:11:00.000+00:00",78882
"2024-05-09T07:11:30.000+00:00",78886
"2024-05-09T07:12:00.000+00:00",78890
"2024-05-09T07:12:30.000+00:00",78926
"2024-05-09T07:13:00.000+00:00",79053
"2024-05-09T07:13:30.000+00:00",79059
"2024-05-09T07:14:00.000+00:00",79063
"2024-05-09T07:14:30.000+00:00",79068
"2024-05-09T07:15:00.000+00:00",79072
"2024-05-09T07:15:30.000+00:00",79182
"2024-05-09T07:16:00.000+00:00",79234
"2024-05-09T07:16:30.000+00:00",79238
"2024-05-09T07:17:00.000+00:00",79243
"2024-05-09T07:17:30.000+00:00",79249
"2024-05-09T07:18:00.000+00:00",79325
"2024-05-09T07:18:30.000+00:00",79409
"2024-05-09T07:19:00.000+00:00",79413
"2024-05-09T07:19:30.000+00:00",79419
"2024-05-09T07:20:00.000+00:00",79423
"2024-05-09T07:20:30.000+00:00",79468
"2024-05-09T07:21:00.000+00:00",79584
"2024-05-09T07:21:30.000+00:00",79590
"2024-05-09T07:22:00.000+00:00",79594
"2024-05-09T07:22:30.000+00:00",79598
"2024-05-09T07:23:00.000+00:00",79611
"2024-05-09T07:23:30.000+00:00",79737
"2024-05-09T07:24:00.000+00:00",79765
"2024-05-09T07:24:30.000+00:00",79770
"2024-05-09T07:25:00.000+00:00",79774
"2024-05-09T07:25:30.000+00:00",79778
"2024-05-09T07:26:00.000+00:00",79881
"2024-05-09T07:26:30.000+00:00",79941
"2024-05-09T07:27:00.000+00:00",79945
"2024-05-09T07:27:30.000+00:00",79949
"2024-05-09T07:28:00.000+00:00",79955
"2024-05-09T07:28:30.000+00:00",80023
"2024-05-09T07:29:00.000+00:00",80115
"2024-05-09T07:29:30.000+00:00",80120
"2024-05-09T07:30:00.000+00:00",80126
"2024-05-09T07:30:30.000+00:00",80130
"2024-05-09T07:31:00.000+00:00",80159
"2024-05-09T07:31:30.000+00:00",80283
"2024-05-09T07:32:00.000+00:00",80297
"2024-05-09T07:32:30.000+00:00",80301
"2024-05-09T07:33:00.000+00:00",80306
"2024-05-09T07:33:30.000+00:00",80310
"2024-05-09T07:34:00.000+00:00",80428
"2024-05-09T07:34:30.000+00:00",80472
"2024-05-09T07:35:00.000+00:00",80476
"2024-05-09T07:35:30.000+00:00",80480
"2024-05-09T07:36:00.000+00:00",80486
"2024-05-09T07:36:30.000+00:00",80571
"2024-05-09T07:37:00.000+00:00",80648
"2024-05-09T07:37:30.000+00:00",80652
"2024-05-09T07:38:00.000+00:00",80656
"2024-05-09T07:38:30.000+00:00",80662
"2024-05-09T07:39:00.000+00:00",80706
"2024-05-09T07:39:30.000+00:00",80822
"2024-05-09T07:40:00.000+00:00",80826
"2024-05-09T07:40:30.000+00:00",80832
"2024-05-09T07:41:00.000+00:00",80837
"2024-05-09T07:41:30.000+00:00",80849
"2024-05-09T07:42:00.000+00:00",80973
"2024-05-09T07:42:30.000+00:00",81003
"2024-05-09T07:43:00.000+00:00",81008
"2024-05-09T07:43:30.000+00:00",81012
"2024-05-09T07:44:00.000+00:00",81016
"2024-05-09T07:44:30.000+00:00",81119
"2024-05-09T07:45:00.000+00:00",81181
"2024-05-09T07:45:30.000+00:00",81185
"2024-05-09T07:46:00.000+00:00",81189
"2024-05-09T07:46:30.000+00:00",81196
"2024-05-09T07:47:00.000+00:00",81266
"2024-05-09T07:47:30.000+00:00",81358
"2024-05-09T07:48:00.000+00:00",81362
"2024-05-09T07:48:30.000+00:00",81368
"2024-05-09T07:49:00.000+00:00",81372
"2024-05-09T07:49:30.000+00:00",81400
"2024-05-09T07:50:00.000+00:00",81525
"2024-05-09T07:50:30.000+00:00",81537
"2024-05-09T07:51:00.000+00:00",81543
"2024-05-09T07:51:30.000+00:00",81547
"2024-05-09T07:52:00.000+00:00",81551
"2024-05-09T07:52:30.000+00:00",81667
"2024-05-09T07:53:00.000+00:00",81713
"2024-05-09T07:53:30.000+00:00",81718
"2024-05-09T07:54:00.000+00:00",81722
"2024-05-09T07:54:30.000+00:00",81726
"2024-05-09T07:55:00.000+00:00",81812
"2024-05-09T07:55:30.000+00:00",81888
"2024-05-09T07:56:00.000+00:00",81892
"2024-05-09T07:56:30.000+00:00",81896
"2024-05-09T07:57:00.000+00:00",81903
"2024-05-09T07:57:30.000+00:00",81947
"2024-05-09T07:58:00.000+00:00",82065
"2024-05-09T07:58:30.000+00:00",82069
"2024-05-09T07:59:00.000+00:00",82075
"2024-05-09T07:59:30.000+00:00",82079
"2024-05-09T08:00:00.000+00:00",82100
"2024-05-09T08:00:30.000+00:00",82216
"2024-05-09T08:01:00.000+00:00",82246
"2024-05-09T08:01:30.000+00:00",82250
"2024-05-09T08:02:00.000+00:00",82254
